Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Class
high,high,4,,big,low,unacc
,vhigh,4,4,big,low,unacc
,high,5more,2,big,high,unacc
low,high,,4,med,med,acc
med,,4,more,med,low,unacc
med,vhigh,4,4,med,,acc
vhigh,vhigh,2,,big,low,unacc
,low,5more,2,big,med,unacc
,vhigh,5more,more,small,med,unacc
high,low,5more,2,,low,unacc
low,high,4,,med,high,vgood
low,high,2,2,,med,unacc
vhigh,low,,more,med,low,unacc
vhigh,low,,4,small,low,unacc
high,vhigh,4,,small,low,unacc
vhigh,med,5more,2,,high,unacc
high,,5more,4,big,high,unacc
low,low,3,2,small,,unacc
med,low,,2,small,high,unacc
low,high,,4,med,high,acc
high,high,2,4,,low,unacc
vhigh,low,3,more,,low,unacc
low,,3,4,big,high,acc
,med,2,2,med,med,unacc
vhigh,,3,4,med,low,unacc
med,vhigh,3,4,,high,acc
high,vhigh,3,more,,low,unacc
,med,5more,2,small,med,unacc
med,low,2,2,med,,unacc
high,,4,4,small,low,unacc
med,,4,more,med,med,acc
vhigh,low,3,2,,high,unacc
vhigh,high,4,,med,low,unacc
low,med,,4,big,med,good
low,,2,2,big,low,unacc
med,,5more,2,small,med,unacc
low,med,5more,more,med,,good
low,low,,more,big,low,unacc
low,vhigh,2,,small,med,unacc
low,,3,4,big,high,vgood
high,,4,more,big,med,acc
low,,2,more,med,med,acc
high,low,2,2,small,,unacc
low,vhigh,,4,small,low,unacc
,med,2,4,small,high,acc
low,high,3,more,med,,vgood
med,,4,2,big,low,unacc
high,,3,2,med,high,unacc
low,low,,4,med,low,unacc
low,med,5more,2,,med,unacc
vhigh,high,5more,2,small,,unacc
high,low,4,2,,high,unacc
med,vhigh,4,,big,med,acc
low,low,2,,med,med,acc
,vhigh,3,more,med,high,unacc
low,high,2,4,,low,unacc
med,high,,2,small,med,unacc
low,vhigh,3,4,,low,unacc
high,high,3,,med,med,unacc
high,low,5more,more,,high,acc
high,vhigh,3,2,med,,unacc
med,med,3,,big,low,unacc
vhigh,high,2,,big,high,unacc
med,vhigh,4,,small,low,unacc
med,med,5more,,big,high,unacc
low,med,,more,big,high,vgood
high,vhigh,5more,,small,med,unacc
high,,2,more,small,low,unacc
med,,2,4,med,high,good
low,vhigh,2,4,med,,unacc
,high,5more,more,med,high,vgood
high,high,3,4,,med,acc
vhigh,high,3,,small,med,unacc
high,,4,4,small,med,unacc
high,low,4,2,,med,unacc
,med,5more,4,med,med,acc
vhigh,,5more,more,med,med,unacc
high,high,,2,small,med,unacc
low,low,5more,,small,low,unacc
vhigh,vhigh,3,more,,high,unacc
med,low,2,,big,high,vgood
med,,5more,2,small,low,unacc
low,,2,4,med,low,unacc
,low,2,4,small,med,acc
,med,3,4,med,low,unacc
,vhigh,3,more,big,med,acc
med,low,3,,med,low,unacc
vhigh,low,4,more,med,,unacc
,med,4,4,small,high,acc
med,high,,4,big,high,acc
low,vhigh,,2,big,low,unacc
low,low,4,more,small,,good
med,vhigh,5more,more,med,,unacc
vhigh,vhigh,,more,big,med,unacc
low,,5more,2,big,med,unacc
low,high,,2,small,med,unacc
high,vhigh,,4,big,low,unacc
high,vhigh,2,2,,med,unacc
,med,2,2,med,med,unacc
low,,3,more,med,med,acc
vhigh,,4,4,big,high,unacc
vhigh,vhigh,3,,med,low,unacc
